Year,Value,UNIT_MEASURE,SERIES
2000,87.34998,PT,SH_H2O_SAFE
2001,87.47272,PT,SH_H2O_SAFE
2002,87.59461999999999,PT,SH_H2O_SAFE
2003,87.71558,PT,SH_H2O_SAFE
2004,87.83569,PT,SH_H2O_SAFE
2005,87.95483,PT,SH_H2O_SAFE
2006,88.07303,PT,SH_H2O_SAFE
2007,88.19037,PT,SH_H2O_SAFE
2008,88.30676,PT,SH_H2O_SAFE
2009,88.42222,PT,SH_H2O_SAFE
2010,88.53673,PT,SH_H2O_SAFE
2011,88.65034,PT,SH_H2O_SAFE
2012,88.70229,PT,SH_H2O_SAFE
2013,88.79768,PT,SH_H2O_SAFE
2014,88.81719,PT,SH_H2O_SAFE
2015,88.82513,PT,SH_H2O_SAFE
2016,88.83336,PT,SH_H2O_SAFE
2017,88.84189,PT,SH_H2O_SAFE
