Year,Value,UNIT_MEASURE,SERIES
2000,42.0,NUMBER,SG_GEN_PARLNT
2001,42.0,NUMBER,SG_GEN_PARLNT
2002,42.0,NUMBER,SG_GEN_PARLNT
2003,42.0,NUMBER,SG_GEN_PARLNT
2004,42.0,NUMBER,SG_GEN_PARLNT
2005,42.0,NUMBER,SG_GEN_PARLNT
2006,42.0,NUMBER,SG_GEN_PARLNT
2007,42.0,NUMBER,SG_GEN_PARLNT
2008,42.0,NUMBER,SG_GEN_PARLNT
2009,42.0,NUMBER,SG_GEN_PARLNT
2010,42.0,NUMBER,SG_GEN_PARLNT
2011,42.0,NUMBER,SG_GEN_PARLNT
2012,42.0,NUMBER,SG_GEN_PARLNT
2013,42.0,NUMBER,SG_GEN_PARLNT
2014,42.0,NUMBER,SG_GEN_PARLNT
2015,42.0,NUMBER,SG_GEN_PARLNT
2016,42.0,NUMBER,SG_GEN_PARLNT
2017,42.0,NUMBER,SG_GEN_PARLNT
2018,42.0,NUMBER,SG_GEN_PARLNT
2019,42.0,NUMBER,SG_GEN_PARLNT
2020,42.0,NUMBER,SG_GEN_PARLNT
