Year,SERIES,UNIT_MEASURE,Value
2011,Proportion of small-scale industries in total industry value added [9.3.1],Percent,16.43
2012,Proportion of small-scale industries in total industry value added [9.3.1],Percent,18.26
2013,Proportion of small-scale industries in total industry value added [9.3.1],Percent,15.1
2014,Proportion of small-scale industries in total industry value added [9.3.1],Percent,21.21
2015,Proportion of small-scale industries in total industry value added [9.3.1],Percent,21.54
2016,Proportion of small-scale industries in total industry value added [9.3.1],Percent,20.36
2017,Proportion of small-scale industries in total industry value added [9.3.1],Percent,17.06
