Year,SERIES,UNIT_MEASURE,Value
2009,Proportion of small-scale industries with a loan or line of credit [9.3.2],Percent,59.31
2013,Proportion of small-scale industries with a loan or line of credit [9.3.2],Percent,73.66
2019,Proportion of small-scale industries with a loan or line of credit [9.3.2],Percent,44.38
