Year,SERIES,UNIT_MEASURE,Value
2006,Sustainable fisheries as a proportion of GDP [14.7.1],Percent,2e-05
2008,Sustainable fisheries as a proportion of GDP [14.7.1],Percent,2e-05
2010,Sustainable fisheries as a proportion of GDP [14.7.1],Percent,1e-05
2012,Sustainable fisheries as a proportion of GDP [14.7.1],Percent,1e-05
