Year,SERIES,UNIT_MEASURE,Value
2017,Proportion of bodies of water with good ambient water quality [6.3.2],Percent,5.79
2017,Proportion of groundwater bodies with good ambient water quality [6.3.2],Percent,16.67
2017,Proportion of open water bodies with good ambient water quality [6.3.2],Percent,100.0
2017,Proportion of river water bodies with good ambient water quality [6.3.2],Percent,4.89
