Year,SERIES,UNIT_MEASURE,Value
2000,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],HA TH,156.36
2010,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],HA TH,156.36
2015,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],HA TH,156.36
2016,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],HA TH,156.36
2017,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],HA TH,156.36
2018,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],HA TH,156.36
2019,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],HA TH,156.36
2020,Above-ground biomass in forest per hectare (tonnes per hectare) [15.2.1],HA TH,156.36
2010,Forest area net change rate (%) [15.2.1],Percent,-0.04
2015,Forest area net change rate (%) [15.2.1],Percent,0.54
2020,Forest area net change rate (%) [15.2.1],Percent,0.25
2000,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],HA TH,0.0
2005,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],HA TH,0.0
2010,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],HA TH,108.69200000000001
2015,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],HA TH,1496.115
2016,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],HA TH,1495.526
2017,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],HA TH,1532.625
2018,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],HA TH,1654.4589999999998
2019,Forest area certified under an independently verified certification scheme (hectares) [15.2.1],HA TH,1768.0710000000001
