Year,SERIES,UNIT_MEASURE,Degree of urbanisation,Value
2016,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",Micrograms per cubic meter,,27.25168800354
2016,"Annual mean levels of fine particulate matter in cities, urban population [11.6.2]",Micrograms per cubic meter,Urban,29.739595413207997
