Year,SERIES,UNIT_MEASURE,Value
2017,Mountain Green Cover Index [15.4.2],Index,94.405594
2017,Mountain area (square kilometres) [15.4.2],Square kilometers,36.4415446484375
2017,Mountain green cover area (square kilometres) [15.4.2],Square kilometers,34.4028568359375
