Year,SERIES,UNIT_MEASURE,Value
2009,Primary government expenditures as a proportion of original approved budget [16.6.1],Percent,89.56
2010,Primary government expenditures as a proportion of original approved budget [16.6.1],Percent,91.58
2011,Primary government expenditures as a proportion of original approved budget [16.6.1],Percent,100.0
