Year,SERIES,UNIT_MEASURE,Value
2001,Proportion of people living below 50 percent of median income [10.2.1],Percent,8
2004,Proportion of people living below 50 percent of median income [10.2.1],Percent,12
2007,Proportion of people living below 50 percent of median income [10.2.1],Percent,12
2011,Proportion of people living below 50 percent of median income [10.2.1],Percent,12
