Year,SERIES,UNIT_MEASURE,Age,Value
2000,SH_STA_STUNTN,THOUSANDS,under 5 years old,28.43425
2006,SH_STA_STUNTN,THOUSANDS,under 5 years old,19.49263
2012,SH_STA_STUNTN,THOUSANDS,under 5 years old,16.26161
2000,SH_STA_STUNT,Percent,under 5 years old,12.12708
2006,SH_STA_STUNT,Percent,under 5 years old,11.812999999999999
2012,SH_STA_STUNT,Percent,under 5 years old,8.886560000000001
