Year,SERIES,UNIT_MEASURE,Value
2015,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Percent,50.0
2020,Compliance with the Basel Convention on hazardous waste and other chemicals [12.4.1],Percent,80.0
2015,Compliance with the Montreal Protocol on hazardous waste and other chemicals [12.4.1],Percent,100.0
2020,Compliance with the Montreal Protocol on hazardous waste and other chemicals [12.4.1],Percent,100.0
2015,Compliance with the Rotterdam Convention on hazardous waste and other chemicals [12.4.1],Percent,72.55
2020,Compliance with the Rotterdam Convention on hazardous waste and other chemicals [12.4.1],Percent,91.38
2015,Compliance with the Stockholm Convention on hazardous waste and other chemicals [12.4.1],Percent,33.33
2020,Compliance with the Stockholm Convention on hazardous waste and other chemicals [12.4.1],Percent,62.5
