Value,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
ISIC4_A,ISIC4_A,ISIC4_A,ISIC4_A,3,1
ISIC4_BTU,ISIC4_BTU,ISIC4_BTU,ISIC4_BTU,3,1
