Value,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
Q1,Q1,Q1,Q1,21,2
Q2,Q2,Q2,Q2,30,2
Q3,Q3,Q3,Q3,21,2
Q4,Q4,Q4,Q4,30,2
Q5,Q5,Q5,Q5,21,2
