Value,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
ARSP,ARSP,ARSP,ARSP,3,1
COPA,COPA,COPA,COPA,3,1
EMAIL,EMAIL,EMAIL,EMAIL,3,1
EPRS,EPRS,EPRS,EPRS,3,1
IHR_01,IHR_01,IHR_01,IHR_01,1,1
IHR_02,IHR_02,IHR_02,IHR_02,1,1
IHR_03,IHR_03,IHR_03,IHR_03,1,1
IHR_04,IHR_04,IHR_04,IHR_04,1,1
IHR_05,IHR_05,IHR_05,IHR_05,1,1
IHR_06,IHR_06,IHR_06,IHR_06,1,1
IHR_07,IHR_07,IHR_07,IHR_07,1,1
IHR_08,IHR_08,IHR_08,IHR_08,1,1
IHR_09,IHR_09,IHR_09,IHR_09,1,1
IHR_10,IHR_10,IHR_10,IHR_10,1,1
IHR_11,IHR_11,IHR_11,IHR_11,1,1
IHR_12,IHR_12,IHR_12,IHR_12,1,1
IHR_13,IHR_13,IHR_13,IHR_13,1,1
IO_ECOSOC,IO_ECOSOC,IO_ECOSOC,IO_ECOSOC,4,2
IO_IBRD,IO_IBRD,IO_IBRD,IO_IBRD,4,2
IO_IFC,IO_IFC,IO_IFC,IO_IFC,4,2
IO_IMF,IO_IMF,IO_IMF,IO_IMF,4,2
IO_UNGA,IO_UNGA,IO_UNGA,IO_UNGA,4,2
IO_UNSC,IO_UNSC,IO_UNSC,IO_UNSC,4,2
IS_256KT2M,IS_256KT2M,IS_256KT2M,IS_256KT2M,2,1
IS_2MT10M,IS_2MT10M,IS_2MT10M,IS_2MT10M,2,1
IS_GE10M,IS_GE10M,IS_GE10M,IS_GE10M,2,1
MOT_IWW,MOT_IWW,MOT_IWW,MOT_IWW,1,1
MOT_RAI,MOT_RAI,MOT_RAI,MOT_RAI,2,1
MOT_ROA,MOT_ROA,MOT_ROA,MOT_ROA,2,1
NCD_CARDIO,NCD_CARDIO,NCD_CARDIO,NCD_CARDIO,3,1
NCD_CNCR,NCD_CNCR,NCD_CNCR,NCD_CNCR,3,1
NCD_CRESPD,NCD_CRESPD,NCD_CRESPD,NCD_CRESPD,3,1
NCD_DIABTS,NCD_DIABTS,NCD_DIABTS,NCD_DIABTS,3,1
PC_DEFENCE,PC_DEFENCE,PC_DEFENCE,PC_DEFENCE,2,1
PC_FINANCE,PC_FINANCE,PC_FINANCE,PC_FINANCE,2,1
PC_FOR_AFF,PC_FOR_AFF,PC_FOR_AFF,PC_FOR_AFF,2,1
PC_GEN_EQU,PC_GEN_EQU,PC_GEN_EQU,PC_GEN_EQU,2,1
PC_HUM_RIGH,PC_HUM_RIGH,PC_HUM_RIGH,PC_HUM_RIGH,2,1
PCPR,PCPR,PCPR,PCPR,3,1
SKILL_ICTCMFL,SKILL_ICTCMFL,SKILL_ICTCMFL,SKILL_ICTCMFL,3,1
SKILL_ICTSFWR,SKILL_ICTSFWR,SKILL_ICTSFWR,SKILL_ICTSFWR,3,1
SKILL_ICTTRFF,SKILL_ICTTRFF,SKILL_ICTTRFF,SKILL_ICTTRFF,3,1
SKILL_MATH,SKILL_MATH,SKILL_MATH,SKILL_MATH,8,2
SKILL_READ,SKILL_READ,SKILL_READ,SKILL_READ,8,2
SPAR_01,SPAR_01,SPAR_01,SPAR_01,1,1
SPAR_02,SPAR_02,SPAR_02,SPAR_02,1,1
SPAR_03,SPAR_03,SPAR_03,SPAR_03,1,1
SPAR_04,SPAR_04,SPAR_04,SPAR_04,1,1
SPAR_05,SPAR_05,SPAR_05,SPAR_05,1,1
SPAR_06,SPAR_06,SPAR_06,SPAR_06,1,1
SPAR_07,SPAR_07,SPAR_07,SPAR_07,1,1
SPAR_08,SPAR_08,SPAR_08,SPAR_08,1,1
SPAR_09,SPAR_09,SPAR_09,SPAR_09,1,1
SPAR_10,SPAR_10,SPAR_10,SPAR_10,1,1
SPAR_11,SPAR_11,SPAR_11,SPAR_11,1,1
SPAR_12,SPAR_12,SPAR_12,SPAR_12,1,1
SPAR_13,SPAR_13,SPAR_13,SPAR_13,1,1
