Value,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
ISCO08_221,ISCO08_221,ISCO08_221,ISCO08_221,3,1
ISCO08_2221_3221,ISCO08_2221_3221,ISCO08_2221_3221,ISCO08_2221_3221,2,1
ISCO08_222_322,ISCO08_222_322,ISCO08_222_322,ISCO08_222_322,1,1
ISCO08_2261,ISCO08_2261,ISCO08_2261,ISCO08_2261,1,1
ISCO08_2262,ISCO08_2262,ISCO08_2262,ISCO08_2262,1,1
