Year,Value,UNIT_MEASURE,SERIES
2000,17,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2001,16,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2002,14,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2003,14,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2004,14,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2005,13,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2006,13,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2007,13,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2008,11,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2009,11,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2010,11,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2011,10,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2012,10,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2013,10,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2014,10,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2015,10,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2016,10,PER_100000_LIVE_BIRTHS,SH_STA_MMR
2017,10,PER_100000_LIVE_BIRTHS,SH_STA_MMR
