Year,Value,UNIT_MEASURE,SERIES
2000,97.2697,PT,SP_ACS_BSRVH2O
2001,97.22156,PT,SP_ACS_BSRVH2O
2002,97.17081,PT,SP_ACS_BSRVH2O
2003,97.11740999999999,PT,SP_ACS_BSRVH2O
2004,97.0614,PT,SP_ACS_BSRVH2O
2005,97.00271,PT,SP_ACS_BSRVH2O
2006,96.94138000000001,PT,SP_ACS_BSRVH2O
2007,96.8774,PT,SP_ACS_BSRVH2O
2008,96.81075,PT,SP_ACS_BSRVH2O
2009,96.74145,PT,SP_ACS_BSRVH2O
2010,96.66949,PT,SP_ACS_BSRVH2O
2011,96.59487,PT,SP_ACS_BSRVH2O
2012,96.45003,PT,SP_ACS_BSRVH2O
2013,96.352,PT,SP_ACS_BSRVH2O
2014,96.16813,PT,SP_ACS_BSRVH2O
2015,96.15984,PT,SP_ACS_BSRVH2O
2016,96.15126,PT,SP_ACS_BSRVH2O
2017,96.14236,PT,SP_ACS_BSRVH2O
2000,95.07844,PT,SP_ACS_BSRVSAN
2001,95.08796,PT,SP_ACS_BSRVSAN
2002,95.09814,PT,SP_ACS_BSRVSAN
2003,95.10885999999999,PT,SP_ACS_BSRVSAN
2004,95.12025,PT,SP_ACS_BSRVSAN
2005,95.13579,PT,SP_ACS_BSRVSAN
2006,95.15163000000001,PT,SP_ACS_BSRVSAN
2007,95.1679,PT,SP_ACS_BSRVSAN
2008,95.18446,PT,SP_ACS_BSRVSAN
2009,95.20132,PT,SP_ACS_BSRVSAN
2010,95.21849,PT,SP_ACS_BSRVSAN
2011,95.23601,PT,SP_ACS_BSRVSAN
2012,95.25391,PT,SP_ACS_BSRVSAN
2013,95.27204,PT,SP_ACS_BSRVSAN
2014,95.29053,PT,SP_ACS_BSRVSAN
2015,95.31294,PT,SP_ACS_BSRVSAN
2016,95.33615,PT,SP_ACS_BSRVSAN
2017,95.36024,PT,SP_ACS_BSRVSAN
