Year,Value,UNIT_MEASURE,SERIES
2015,9.59245,PT,AG_PRD_FIESMSI
2016,10.26853,PT,AG_PRD_FIESMSI
2017,8.6838,PT,AG_PRD_FIESMSI
2018,9.18705,PT,AG_PRD_FIESMSI
2015,1.5382,PT,AG_PRD_FIESSI
2016,1.76184,PT,AG_PRD_FIESSI
2017,1.32249,PT,AG_PRD_FIESSI
2018,1.45702,PT,AG_PRD_FIESSI
2015,329.26817,THOUSANDS,AG_PRD_FIESMSIN
2016,348.00609,THOUSANDS,AG_PRD_FIESMSIN
2017,291.24677,THOUSANDS,AG_PRD_FIESMSIN
2018,305.51409,THOUSANDS,AG_PRD_FIESMSIN
2015,52.79993,THOUSANDS,AG_PRD_FIESSIN
2016,59.70975,THOUSANDS,AG_PRD_FIESSIN
2017,44.35517,THOUSANDS,AG_PRD_FIESSIN
2018,48.45317,THOUSANDS,AG_PRD_FIESSIN
