Year,Value,UNIT_MEASURE,SERIES
2011,16.43,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2012,18.26,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2013,15.1,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2014,21.21,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2015,21.54,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2016,20.36,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
2017,17.06,Percent,Proportion of small-scale industries in total industry value added [9.3.1]
