Year,Value,UNIT_MEASURE,SERIES
2002,0.85082,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2003,0.38036,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2004,4.59425,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2005,0.6276,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2006,1.7458200000000001,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2007,0.8881399999999999,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2008,3.65444,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2009,4.51277,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2010,12.36201,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2011,1.1542700000000001,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2012,2.69066,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2013,1.2264700000000002,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2014,1.52332,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2015,0.72172,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2016,4.0889999999999995,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2017,19.06079,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
2018,11.49886,Constant USD,"Total official development assistance for biodiversity, by recipient countries [15.a.1, 15.b.1]"
