Year,Value,UNIT_MEASURE,SERIES
2000,19.58084,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2001,38.82584,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2002,9.64236,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2003,13.74311,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2004,42.03058,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2005,20.24693,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2006,15.9279,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2007,16.63345,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2008,14.332189999999999,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2009,17.654629999999997,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2010,28.460990000000002,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2011,43.36911,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2012,43.072140000000005,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2013,37.56426,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2014,43.50735,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2015,69.22511999999999,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2016,69.22511999999999,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2017,49.60147,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
2018,16.604770000000002,USD,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries [6.a.1]"
