Year,Value,UNIT_MEASURE,SERIES
2011,13.9,Percent,Remittance costs as a proportion of the amount remitted [10.c.1]
2015,7.3,Percent,Remittance costs as a proportion of the amount remitted [10.c.1]
2017,6.5,Percent,Remittance costs as a proportion of the amount remitted [10.c.1]
2018,6.9,Percent,Remittance costs as a proportion of the amount remitted [10.c.1]
